PercentObese,SE,StartYear,EndYear,MinAge,MaxAge,All,F,M
5,-0.6,1971,1974,2,5,1,0,0
5,-0.6,1976,1980,2,5,1,0,0
7.2,-0.7,1988,1994,2,5,1,0,0
10.3,-1.7,1999,2000,2,5,1,0,0
10.6,-1.8,2001,2002,2,5,1,0,0
13.9,-1.6,2003,2004,2,5,1,0,0
10.7,-1.1,2005,2006,2,5,1,0,0
10.1,-1.2,2007,2008,2,5,1,0,0
12.1,-1.2,2009,2010,2,5,1,0,0
8.4,-1.3,2011,2012,2,5,1,0,0
9.4,-1.3,2013,2014,2,5,1,0,0
4,-0.5,1971,1974,6,11,1,0,0
6.5,-0.6,1976,1980,6,11,1,0,0
11.3,-1,1988,1994,6,11,1,0,0
15.1,-1.4,1999,2000,6,11,1,0,0
16.2,-1.6,2001,2002,6,11,1,0,0
18.8,-1.3,2003,2004,6,11,1,0,0
15.1,-2.1,2005,2006,6,11,1,0,0
19.6,-1.2,2007,2008,6,11,1,0,0
18,-0.8,2009,2010,6,11,1,0,0
17.7,-1.6,2011,2012,6,11,1,0,0
17.4,-1.7,2013,2014,6,11,1,0,0
6.1,-0.6,1971,1974,12,19,1,0,0
5,-0.5,1976,1980,12,19,1,0,0
10.5,-0.9,1988,1994,12,19,1,0,0
14.8,-0.9,1999,2000,12,19,1,0,0
16.7,-1.1,2001,2002,12,19,1,0,0
17.4,-1.7,2003,2004,12,19,1,0,0
17.8,-1.8,2005,2006,12,19,1,0,0
18.1,-1.7,2007,2008,12,19,1,0,0
18.4,-1.3,2009,2010,12,19,1,0,0
20.5,-1.7,2011,2012,12,19,1,0,0
20.6,-2.1,2013,2014,12,19,1,0,0
5,-0.8,1971,1974,2,5,0,0,1
4.7,-0.6,1976,1980,2,5,0,0,1
6.2,-0.8,1988,1994,2,5,0,0,1
9.5,-2.3,1999,2000,2,5,0,0,1
10.7,-2.4,2001,2002,2,5,0,0,1
15.1,-1.7,2003,2004,2,5,0,0,1
10.4,-1.7,2005,2006,2,5,0,0,1
9.3,-1.5,2007,2008,2,5,0,0,1
14.4,-1.8,2009,2010,2,5,0,0,1
9.5,-1.9,2011,2012,2,5,0,0,1
8.8,-2,2013,2014,2,5,0,0,1
4.3,-0.8,1971,1974,6,11,0,0,1
6.6,-0.8,1976,1980,6,11,0,0,1
11.6,-1.3,1988,1994,6,11,0,0,1
15.8,-1.8,1999,2000,6,11,0,0,1
17.5,-1.9,2001,2002,6,11,0,0,1
19.9,-2,2003,2004,6,11,0,0,1
16.2,-2.5,2005,2006,6,11,0,0,1
21.2,-1.6,2007,2008,6,11,0,0,1
20.1,-1,2009,2010,6,11,0,0,1
16.4,-1.8,2011,2012,6,11,0,0,1
18.8,-2.4,2013,2014,6,11,0,0,1
6.1,-0.8,1971,1974,12,19,0,0,1
4.8,-0.5,1976,1980,12,19,0,0,1
11.3,-1.3,1988,1994,12,19,0,0,1
14.8,-1.3,1999,2000,12,19,0,0,1
17.6,-1.3,2001,2002,12,19,0,0,1
18.2,-1.9,2003,2004,12,19,0,0,1
18.2,-2.4,2005,2006,12,19,0,0,1
19.3,-2.2,2007,2008,12,19,0,0,1
19.6,-2.3,2009,2010,12,19,0,0,1
20.3,-2.4,2011,2012,12,19,0,0,1
19.8,-2.2,2013,2014,12,19,0,0,1
4.9,-0.8,1971,1974,2,5,0,1,0
5.3,-1,1976,1980,2,5,0,1,0
8.2,-1,1988,1994,2,5,0,1,0
11.2,-2.5,1999,2000,2,5,0,1,0
10.5,-1.8,2001,2002,2,5,0,1,0
